Doc ID,Title,URL,Category,Draft,Doc Type,Role,Last Updated,Author,Description,Keywords,File Path
smart-search-plugin/plugin-introduction,Smart Search Plugin,/smart-search-plugin/plugin-introduction/,(top-level),,overview,,12/12/2024,Patricia McPhee,"An overview of the Smart Search Plugin for Docusaurus v3.x, detailing its metadata-driven search capabilities that enhance documentation navigation. This plugin provides precise search results through a user-friendly interface, ensuring optimal performance in both online and offline environments.",smart search; Docusaurus; documentation; search plugin; metadata-driven search; offline functionality; user experience; documentation navigation,content/docs/smart-search-plugin/plugin-introduction.mdx
smart-search-plugin/getting-started,Install the Plugin,/smart-search-plugin/getting-started/,Smart Search Plugin,,how-to,,12/12/2024,Patricia McPhee,"A comprehensive guide to installing and configuring the Smart Search Plugin for Docusaurus v3.x. This document covers prerequisites, installation steps, configuration settings, and how to verify your installation to enhance documentation with powerful search functionality.",smart search plugin; Docusaurus; installation guide; configuration; user experience; documentation; prerequisites; search functionality; npm; yarn,content/docs/smart-search-plugin/getting-started.mdx
smart-search-plugin/document-configuration,Document Configuration,/smart-search-plugin/document-configuration/,Smart Search Plugin,,how-to,,12/12/2024,Patricia McPhee,"A detailed guide on configuring frontmatter metadata for documentation in Docusaurus. This document explains the importance of metadata in enhancing searchability, improving user experience, and managing content effectively while providing best practices for using various metadata fields.",document configuration; frontmatter; metadata; Docusaurus; content management; user experience; search optimization; documentation best practices; discoverability,content/docs/smart-search-plugin/document-configuration.mdx
smart-search-plugin/plugin-troubleshooting,Troubleshooting,/smart-search-plugin/plugin-troubleshooting/,Smart Search Plugin,,reference,,12/12/2024,Patricia McPhee,"A comprehensive guide to diagnosing and resolving common issues with the Smart Search Plugin, including troubleshooting steps for missing search icons, search results not appearing, performance issues, and handling console errors.",troubleshooting; Smart Search Plugin; search icon; search results; performance issues; console errors; Docusaurus; installation issues; documentation; user experience,content/docs/smart-search-plugin/plugin-troubleshooting.mdx
smart-search-plugin/plugin-faq,FAQ,/smart-search-plugin/plugin-faq/,Smart Search Plugin,,reference,,12/12/2024,Patricia McPhee,"Frequently asked questions about the Smart Search Plugin for Docusaurus v3.x, covering installation, configuration, search functionality, user interface features, technical details, and contributing guidelines. This document provides essential information to help users effectively utilize the plugin.",smart search plugin; Docusaurus; FAQ; installation; configuration; search functionality; user interface; contributing; metadata-driven search; technical details,content/docs/smart-search-plugin/plugin-faq.mdx
api/,APIs & SDKs,/api//,(top-level),,reference,,1/20/2026,Patricia McPhee,"Comprehensive reference for all API endpoints, including request and response schemas, authentication requirements, and usage examples.",api; reference; endpoints,content/docs/api/index.mdx
api/cosmosdb/,CosmosDB Service Module,/api/cosmosdb//,APIs & SDKs,,,,1/20/2026,Patricia McPhee,"Documentation for the cosmosService.js module, which provides a data access layer for Azure CosmosDB in the InsightHub platform. Includes API reference for organizations, teams, projects, participants, documents, synthesis, billing, and feedback management.",,content/docs/api/cosmosdb/index.mdx
api/cosmosdb/database-utilities,Database Utilities,/api/cosmosdb/database-utilities/,APIs & SDKs > CosmosDB Service Module,,,,1/20/2026,Patricia McPhee,"Database initialization, query helpers, and core key-value API for the CosmosDB research container.",,content/docs/api/cosmosdb/database-utilities.mdx
api/cosmosdb/organizations,Organizations API,/api/cosmosdb/organizations/,APIs & SDKs > CosmosDB Service Module,,,,1/20/2026,Patricia McPhee,CRUD operations for organizations and organization members in the CosmosDB organizations container.,,content/docs/api/cosmosdb/organizations.mdx
api/cosmosdb/teams,Teams API,/api/cosmosdb/teams/,APIs & SDKs > CosmosDB Service Module,,,,1/20/2026,Patricia McPhee,"CRUD operations for teams, team members, and team invitations in the CosmosDB teams container.",,content/docs/api/cosmosdb/teams.mdx
api/cosmosdb/projects,Projects API,/api/cosmosdb/projects/,APIs & SDKs > CosmosDB Service Module,,,,1/20/2026,Patricia McPhee,"CRUD operations for projects, sessions, and tasks in the CosmosDB research container.",,content/docs/api/cosmosdb/projects.mdx
api/cosmosdb/participants-and-research,Participants and Research Questions,/api/cosmosdb/participants-and-research/,APIs & SDKs > CosmosDB Service Module,,,,1/20/2026,Patricia McPhee,API reference for managing participants and research questions in the CosmosDB research container.,,content/docs/api/cosmosdb/participants-and-research.mdx
api/cosmosdb/synthesis,Synthesis API,/api/cosmosdb/synthesis/,APIs & SDKs > CosmosDB Service Module,,,,1/20/2026,Patricia McPhee,"API reference for managing hypotheses, notes, clusters, and research questions synthesis data per project.",,content/docs/api/cosmosdb/synthesis.mdx
api/cosmosdb/documents,Documents API,/api/cosmosdb/documents/,APIs & SDKs > CosmosDB Service Module,,,,1/20/2026,Patricia McPhee,"API reference for managing documents, document hierarchy, versioning, and inline comments.",,content/docs/api/cosmosdb/documents.mdx
